Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
   12.6579  -199.7824  1751.5190     0.5939    -0.6676     0.4490    -0.6950    -0.7068    -0.1319     0.4054    -0.2337    -0.8838
   13.0847  -200.3508  1751.8602     0.4866    -0.7721     0.4088    -0.6821    -0.6281    -0.3744     0.5459    -0.0967    -0.8323
   13.4190  -200.9894  1752.1491     0.3714    -0.8690     0.3270    -0.6599    -0.4948    -0.5655     0.6532    -0.0058    -0.7572
   13.6579  -201.6880  1752.3556     0.2505    -0.9464     0.2041    -0.6149    -0.3184    -0.7215     0.7477     0.0552    -0.6617
   13.8043  -202.4317  1752.4544     0.1336    -0.9898     0.0505    -0.5595    -0.1174    -0.8205     0.8180     0.0814    -0.5695
   13.8668  -203.2030  1752.4297     0.0314    -0.9931    -0.1133    -0.4888     0.0836    -0.8684     0.8719     0.0827    -0.4827
   13.8585  -203.9845  1752.2770    -0.0473    -0.9631    -0.2649    -0.4072     0.2607    -0.8753     0.9121     0.0665    -0.4045
   13.7956  -204.7617  1752.0043    -0.1005    -0.9159    -0.3886    -0.3279     0.3992    -0.8562     0.9394     0.0413    -0.3404
   13.6944  -205.5245  1751.6303    -0.1328    -0.8676    -0.4792    -0.2604     0.4970    -0.8277     0.9563     0.0149    -0.2919
   13.5691  -206.2684  1751.1813    -0.1509    -0.8290    -0.5385    -0.2324     0.5592    -0.7958     0.9609     0.0050    -0.2770
