frame,position,phase,lumen_area,lumen_circumf,longest_distance,shortest_distance,elliptic_ratio,vector_length,vector_angle,measurement_1,measurement_2,pullback_speed,pullback_start_frame,frame_rate
126,0.00000000,D,13.40000000,12.97649283,4.13054596,4.13054596,1.00000000,1.41421356,260,,,1.00000000,126,30
155,0.96666667,D,13.10000000,12.85953830,3.89398581,4.28338439,1.10000000,1.11803399,270,,,1.00000000,126,30
183,1.90000000,D,13.50000000,13.13291425,3.78469878,4.54163854,1.20000000,1.00000000,280,,,1.00000000,126,30
211,2.83333333,D,14.00000000,13.37390525,3.85414859,4.62497831,1.20000000,1.11803399,290,,,1.00000000,126,30
238,3.73333333,D,12.40000000,12.58650251,3.62723154,4.35267785,1.20000000,1.41421356,300,,,1.00000000,126,30
267,4.70000000,D,12.00000000,12.38183030,3.56824823,4.28189788,1.20000000,1.11803399,310,,,1.00000000,126,30
296,5.66666667,D,11.00000000,11.85469997,3.41633758,4.09960510,1.20000000,0.70710678,320,,,1.00000000,126,30
324,6.60000000,D,13.20000000,12.87928927,4.09960510,4.09960510,1.00000000,0.50000000,330,,,1.00000000,126,30
353,7.56666667,D,11.80000000,12.27821483,3.53838789,4.24606547,1.20000000,0.70710678,340,,2.2,1.00000000,126,30
511,12.83333333,D,8.10000000,10.26211572,2.81660465,3.66158605,1.30000000,1.11803399,350,1.6,1.9,1.00000000,126,30
377,8.36666667,D,10.30000000,11.47130526,3.30584927,3.96701913,1.20000000,1.00000000,0,1.6,2.0,1.00000000,126,30
463,11.23333333,D,8.90000000,10.75695623,2.95242169,3.83814819,1.30000000,0.50000000,10,1.5,1.9,1.00000000,126,30
489,12.10000000,D,8.40000000,10.45042712,2.86828978,3.72877672,1.30000000,0.00000000,20,1.6,1.9,1.00000000,126,30
407,9.36666667,D,8.80000000,10.81217604,2.82899629,3.96059480,1.40000000,0.50000000,30,1.5,1.8,1.00000000,126,30
436,10.33333333,D,8.80000000,10.81217604,2.82899629,3.96059480,1.40000000,1.00000000,40,1.6,1.9,1.00000000,126,30
542,13.86666667,D,7.30000000,9.84766354,2.57663245,3.60728543,1.40000000,1.11803399,50,1.5,1.9,1.00000000,126,30
596,15.66666667,D,7.90000000,10.24437146,2.68043072,3.75260301,1.40000000,0.70710678,60,1.5,1.8,1.00000000,126,30
569,14.76666667,D,7.40000000,10.03695195,2.50625519,3.75938279,1.50000000,0.50000000,70,1.5,1.8,1.00000000,126,30
622,16.53333333,D,8.30000000,10.77194155,2.57000586,4.11200938,1.60000000,0.70710678,80,1.6,1.7,1.00000000,126,30
