frame,position,phase,lumen_area,lumen_circumf,longest_distance,shortest_distance,elliptic_ratio,vector_length,vector_angle,measurement_1,measurement_2,pullback_speed,pullback_start_frame,frame_rate
224,22.22,D,7.85,9.94,3.23,3.09,1.05,0.72,343.73,,,,,
351,21.68,D,7.3,9.6,3.17,2.88,1.1,0.2,25.07,,,,,
253,21.09,D,7.63,9.83,3.31,2.99,1.11,0.12,216.66,,,,,
236,20.55,D,7.64,9.82,3.25,3.0,1.04,0.14,208.33,,,,,
269,19.95,D,7.82,9.97,3.42,2.92,1.17,0.27,91.41,1.28,,,,
214,19.39,D,7.27,9.58,3.2,2.88,1.11,0.43,42.34,,,,,
197,18.86,D,7.15,9.51,3.16,2.84,1.11,0.48,56.33,,,,,
285,18.29,D,6.0,8.77,3.1,2.48,1.25,0.49,149.36,1.22,1.96,,,
383,17.76,D,6.04,8.85,3.19,2.39,1.43,0.68,155.03,1.2,,,,
400,17.23,D,6.34,9.07,3.27,2.46,1.35,0.7,162.43,1.23,,,,
451,16.66,D,6.78,9.4,3.41,2.53,1.35,0.83,192.29,1.29,1.86,,,
467,16.1,D,6.17,8.97,3.25,2.44,1.45,0.78,172.84,1.42,1.94,,,
434,15.53,D,6.1,8.95,3.23,2.36,1.26,0.4,190.25,1.23,1.91,,,
418,15.0,D,6.2,8.96,3.18,2.48,1.24,0.45,199.11,1.24,2.17,,,
334,14.43,D,5.58,8.4,2.81,2.5,1.11,0.22,12.73,,,,,
318,13.9,D,7.06,9.46,3.22,2.79,1.15,0.21,21.21,,,,,
302,13.3,D,5.77,8.59,2.99,2.49,1.2,0.07,97.85,,,,,
367,12.73,D,5.86,8.84,3.29,2.31,1.23,0.23,85.9,1.3,,,,
484,12.2,D,6.14,9.07,3.44,2.26,1.51,0.84,181.62,1.21,1.8,,,
567,11.67,D,6.68,9.99,3.99,1.99,2.0,1.31,180.42,1.27,1.2,,,
583,11.1,D,6.63,10.14,4.16,1.96,2.25,1.24,176.33,1.21,1.14,,,
550,10.57,D,6.44,10.0,4.12,1.98,2.4,1.62,182.37,1.31,1.47,,,
534,10.03,D,8.32,11.58,4.78,2.03,2.35,1.63,186.87,1.35,1.17,,,
501,9.47,D,5.38,9.79,4.31,1.56,2.92,1.68,177.41,1.22,1.64,,,
518,8.93,D,6.05,10.69,4.78,1.62,2.34,1.32,191.58,1.32,1.56,,,
600,8.4,D,4.3,10.38,4.81,1.19,3.69,0.31,73.63,1.05,1.3,,,
618,7.83,D,4.87,10.86,4.97,1.17,4.95,0.43,51.3,0.96,1.34,,,
652,7.43,D,5.21,10.6,4.83,1.32,3.1,0.71,146.13,1.07,1.11,,,
634,7.1,D,4.6,9.91,4.54,1.26,3.45,0.73,159.26,1.07,1.35,,,
668,6.54,D,5.4,10.32,4.65,1.47,3.91,1.24,172.81,1.08,1.36,,,
187,18.56,S,8.24,10.18,3.27,3.21,1.02,0.49,240.03,,,,,
219,18.02,S,7.71,9.87,3.28,2.94,1.11,0.22,182.96,,,,,
203,17.49,S,8.21,10.16,3.28,3.18,1.02,0.32,214.43,,,,,
231,16.39,S,7.33,9.6,3.1,3.02,1.03,0.38,61.02,1.1,,,,
246,15.86,S,7.14,9.48,3.08,2.93,1.05,0.42,57.1,1.14,,,,
263,15.26,S,7.39,9.69,3.27,2.86,1.08,0.69,161.19,1.22,,,,
343,14.73,S,6.85,9.39,3.31,2.6,1.13,0.91,162.59,1.17,,,,
326,14.17,S,7.22,9.66,3.42,2.63,1.16,0.85,165.04,1.38,,,,
359,13.6,S,6.13,8.95,3.25,2.35,1.34,0.97,165.19,1.39,,,,
310,13.07,S,7.35,9.79,3.48,2.62,1.21,0.98,165.15,1.23,,,,
409,12.47,S,5.51,9.04,3.72,1.89,2.09,1.29,182.24,1.3,1.26,,,
426,11.93,S,5.91,9.24,3.7,1.99,2.16,1.29,177.38,1.34,1.22,,,
477,11.4,S,5.68,9.4,3.83,1.71,2.11,1.31,166.92,1.27,1.04,,,
278,10.83,S,6.0,9.6,4.01,1.91,2.39,1.5,169.33,1.43,1.11,,,
459,10.3,S,5.76,9.41,3.86,1.83,2.1,1.3,169.3,1.29,1.25,,,
443,9.8,S,5.87,9.34,3.8,1.96,2.06,1.34,171.74,1.39,1.18,,,
295,9.23,S,5.82,9.41,3.89,1.89,1.77,1.24,163.55,1.33,1.21,,,
375,8.73,S,5.38,9.4,3.96,1.66,2.27,1.33,160.2,1.27,,,,
393,8.17,S,4.74,9.53,4.21,1.38,2.37,0.45,120.57,1.08,,,,
542,7.67,S,4.56,11.67,5.58,1.08,4.16,0.61,147.51,0.98,1.55,,,
493,7.27,S,4.2,10.7,5.07,1.02,4.08,0.51,139.97,0.98,1.37,,,
526,6.74,S,4.15,11.08,5.22,0.89,4.93,0.34,37.28,1.01,1.41,,,
558,6.21,S,3.8,11.18,5.36,0.86,3.95,0.32,105.87,1.05,1.55,,,
