frame,position,phase,lumen_area,lumen_circumf,longest_distance,shortest_distance,elliptic_ratio,vector_length,vector_angle,measurement_1,measurement_2,pullback_speed,pullback_start_frame,frame_rate
18,20.39,D,18.9,15.43,5.0,4.81,1.82,0.77,69.26,,,,,
37,19.19,D,20.5,16.08,5.25,5.04,1.27,1.66,354.59,,,,,
56,17.85,D,20.76,16.2,5.32,4.93,2.12,1.08,337.46,,,,,
75,16.58,D,19.45,15.66,5.1,4.84,1.26,1.8,354.54,,,,,
212,15.32,D,13.68,13.14,4.3,4.0,1.11,1.19,342.83,,,,,
231,13.98,D,14.61,13.56,4.44,4.18,1.73,0.74,12.18,,,,,
152,12.64,D,17.3,14.76,4.79,4.54,1.79,1.14,355.1,,,,,
131,11.31,D,17.18,14.73,4.96,4.51,1.15,1.37,332.37,,,,,
114,10.11,D,17.32,14.77,4.89,4.59,1.26,1.14,328.4,,,,,
94,8.84,D,11.69,12.17,4.09,3.63,1.39,0.93,283.41,,,,,
171,7.44,D,7.64,10.19,3.9,2.46,1.49,0.72,281.82,1.38,2.35,,,
191,6.08,D,8.05,10.28,3.74,2.71,1.36,0.55,260.11,1.48,,,,
249,4.81,D,7.83,10.24,3.85,2.52,1.27,0.19,218.26,1.24,2.34,,,
309,3.41,D,7.46,10.0,3.77,2.52,1.21,0.54,84.01,,,,,
328,2.27,D,6.43,9.17,3.39,2.44,1.22,0.46,91.67,1.55,2.1,,,
289,0.94,D,5.44,8.69,3.38,1.97,1.24,0.48,134.59,1.29,2.24,,,
269,0.0,D,4.89,8.62,3.54,1.67,1.69,0.74,151.67,1.25,1.92,,,
347,0.0,D,5.94,12.18,5.59,1.11,3.5,1.59,139.4,1.09,1.62,,,
367,0.0,D,6.05,12.17,5.54,1.17,3.46,1.56,142.7,1.06,1.72,,,
385,0.0,D,5.42,11.3,5.2,1.15,3.73,1.31,135.17,0.96,1.68,,,
47,15.98,S,18.78,15.38,5.05,4.74,1.15,1.31,263.33,,,,,
67,14.71,S,16.95,14.61,4.78,4.47,1.07,1.39,261.7,,,,,
8,13.31,S,11.12,11.95,4.23,3.34,1.43,1.32,246.27,1.31,,,,
123,11.91,S,12.97,12.85,4.35,3.81,1.14,1.2,270.92,1.22,,,,
143,10.77,S,11.13,11.86,4.03,3.58,1.16,1.06,269.09,1.52,,,,
27,9.44,S,18.99,15.46,5.01,4.82,1.48,1.32,260.41,,,,,
86,8.1,S,7.1,9.95,3.95,2.35,1.57,0.79,235.98,1.33,,,,
103,6.77,S,6.8,9.69,3.83,2.32,1.59,0.48,207.68,1.15,,,,
221,5.48,S,8.08,10.55,4.05,2.47,1.27,0.23,246.93,1.16,1.7,,,
201,4.21,S,7.89,10.61,4.24,2.33,1.74,0.38,272.18,1.18,1.21,,,
241,2.87,S,6.82,10.86,4.48,1.85,1.81,0.52,152.36,1.13,1.45,,,
162,1.54,S,5.89,10.01,4.31,1.79,1.88,0.63,159.68,1.14,1.46,,,
300,0.4,S,6.64,12.49,5.73,1.46,2.69,0.79,119.98,1.11,1.64,,,
319,0.0,S,6.06,11.97,5.54,1.33,2.68,0.97,120.32,1.12,1.66,,,
181,0.0,S,5.68,12.67,6.03,1.16,3.01,1.34,139.52,1.01,1.6,,,
279,0.0,S,5.2,12.08,5.71,1.06,3.27,0.95,128.02,0.99,1.43,,,
258,0.0,S,5.9,12.19,5.64,1.19,2.57,1.47,125.19,0.88,1.6,,,
